4.18,19.89,16.11,20.5,16.5,15.09,11.067,1.364,1.0,0.067,0.133,0.067,0.067,0.133,0.067,0.333,1.364,1.909,2.364,0.091,0.182,0.0,0.091,1.0,3.27,166,1,2,1,11,15,15,0,5,21,26,1,2,0,1,11,2,8,50,
4.22,19.79,15.48,20.0,15.76,15.33,8.364,1.833,1.031,0.0,0.188,0.125,0.0,0.182,0.121,0.303,1.778,0.833,1.278,0.444,0.722,0.0,0.0,1.833,6.17,276,0,6,4,18,33,32,1,10,15,23,8,13,0,0,33,2,8,59,
4.25,24.18,19.54,22.86,18.86,21,15.273,1.375,1.0,0.091,0.0,0.182,0.091,0.0,0.182,0.182,1.375,2.0,4.5,0.5,0.375,0.0,0.0,1.25,7.62,168,1,0,2,8,11,11,0,2,16,36,4,3,0,0,10,2,8,59,
4.24,19.79,15.79,19.62,15.44,16.76,7.125,2.353,1.0,0.0,0.2,0.225,0.0,0.2,0.225,0.225,2.353,1.176,1.294,0.294,1.588,0.059,0.0,2.412,5.65,285,0,8,9,17,40,40,0,9,20,22,5,27,1,0,41,2,7,75,
5.44,20.58,16.89,18.88,15.0,18.11,11.643,1.556,1.0,0.286,0.143,0.143,0.286,0.143,0.143,0.357,1.556,2.0,3.111,0.111,0.222,0.0,0.0,1.333,9.33,163,4,2,2,9,14,14,0,5,18,28,1,2,0,0,12,2,8,49,
4.91,22.98,17.63,23.86,18.41,18.43,8.653,2.13,1.0,0.082,0.082,0.265,0.082,0.082,0.265,0.184,2.13,1.13,1.696,0.522,1.348,0.0,0.13,2.522,3.48,424,4,4,13,23,49,49,0,9,26,39,12,31,0,3,58,2,9,108,
4.31,22.26,17.4,22.42,17.83,18.31,11.333,1.615,1.0,0.238,0.095,0.19,0.238,0.095,0.19,0.143,1.615,2.077,3.462,0.385,0.231,0.0,0.0,1.462,7,238,5,2,4,13,21,21,0,3,27,45,5,3,0,0,19,2,7,80,
3.95,26.3,21.62,24.63,19.16,18.25,7.449,2.45,1.021,0.125,0.125,0.271,0.122,0.122,0.265,0.184,2.4,1.25,1.5,0.55,1.5,0.0,0.15,2.45,7.45,365,6,6,13,20,49,48,1,9,25,30,11,30,0,3,49,2,12,96,
3.92,19.71,16.65,21.64,17.91,14.58,9.722,1.5,1.0,0.0,0.056,0.056,0.0,0.056,0.056,0.222,1.5,1.417,2.083,0.333,0.5,0.0,0.0,1.083,3.75,175,0,1,1,12,18,18,0,4,17,25,4,6,0,0,13,1,7,52,
3.5,18.03,14.66,18.34,14.72,13.4,8.933,1.5,1.023,0.0,0.068,0.205,0.0,0.067,0.2,0.222,1.467,1.1,1.433,0.3,0.767,0.0,0.0,1.4,4.63,402,0,3,9,30,45,44,1,10,33,43,9,23,0,0,42,1,7,108,
4.43,25.43,20.95,26.0,22.17,20.71,13.182,1.571,1.0,0.091,0.182,0.091,0.091,0.182,0.091,0.182,1.571,2.0,4.286,0.286,0.0,0.143,0.143,1.429,7.57,145,1,2,1,7,11,11,0,2,14,30,2,0,1,1,10,3,8,47,
5.4,30.54,24.47,32.64,27.0,23.2,7.733,3.0,1.0,0.133,0.2,0.222,0.133,0.2,0.222,0.133,3.0,1.267,2.533,0.4,1.6,0.0,0.267,3.067,6.8,348,6,9,10,15,45,45,0,6,19,38,6,24,0,4,46,2,11,87,
5.0,23.36,18.5,25.0,19.29,20.75,12.769,1.625,1.0,0.308,0.154,0.231,0.308,0.154,0.231,0.231,1.625,1.625,3.75,0.5,0.25,0.25,0.0,1.875,6.12,166,4,2,3,8,13,13,0,3,13,30,4,2,2,0,15,3,6,51,
3.7,20.69,16.67,20.89,17.22,18.7,11.688,1.6,1.0,0.062,0.125,0.125,0.062,0.125,0.125,0.375,1.6,1.5,2.8,0.5,0.1,0.2,0.0,1.0,5.2,187,1,2,2,10,16,16,0,6,15,28,5,1,2,0,10,2,6,51,
4.0,17.42,13.28,17.33,13.11,13.89,9.103,1.526,1.074,0.074,0.148,0.481,0.069,0.138,0.448,0.241,1.421,0.789,1.368,0.421,1.211,0.053,0.053,1.895,5.89,264,2,4,13,19,29,27,2,7,15,26,8,23,1,1,36,1,7,73,
4.91,26.71,20.25,25.5,19.3,22.18,12.842,1.727,1.0,0.158,0.0,0.105,0.158,0.0,0.105,0.211,1.727,3.273,4.545,0.455,0.091,0.0,0.182,1.273,7.36,244,3,0,2,11,19,19,0,4,36,50,5,1,0,2,14,2,10,92,
4.11,20.33,15.89,19.28,15.39,16.58,9.844,1.684,1.0,0.094,0.062,0.25,0.094,0.062,0.25,0.281,1.684,1.368,1.789,0.316,1.158,0.0,0.105,1.737,6.63,315,3,2,8,19,32,32,0,9,26,34,6,22,0,2,33,2,7,88,
4.78,22.75,16.89,21.88,16.5,20.67,12.4,1.667,1.071,0.071,0.143,0.286,0.067,0.133,0.267,0.067,1.556,2.333,3.889,0.333,0.556,0.0,0.333,1.333,7.11,186,1,2,4,9,15,14,1,1,21,35,3,5,0,3,12,3,7,64,
4.33,20.73,15.86,20.53,15.82,17.44,8.486,2.056,1.0,0.162,0.108,0.297,0.162,0.108,0.297,0.189,2.056,1.444,1.667,0.278,1.556,0.0,0.111,2.833,7.61,314,6,4,11,18,37,37,0,7,26,30,5,28,0,2,51,2,7,89,
3.48,16.07,12.29,16.0,12.1,13.48,9.129,1.476,1.069,0.138,0.034,0.207,0.129,0.032,0.194,0.097,1.381,1.19,1.286,0.333,0.571,0.048,0.095,1.476,3.24,283,4,1,6,21,31,29,2,3,25,27,7,12,1,2,31,2,5,72,
3.5,16.92,13.37,16.87,13.48,13.83,8.973,1.542,1.028,0.139,0.139,0.25,0.135,0.135,0.243,0.162,1.5,0.917,1.167,0.292,1.167,0.0,0.167,2.0,4,332,5,5,9,24,37,36,1,6,22,28,7,28,0,4,48,2,6,85,
