av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,corrected_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,corrected_ttr,lv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,million_mistake,class,sum_punct
5.0,9,2,3,6,10,16,336,3.62,21.0,34,20,14,13,12,15,19,4,1,19.33,18.83,24.22,24.53,0.48,0.12,0.67,0.71,0.1,0.04,0.16,157,6.06,0.47,3.58,0.2,0.15,0.12,0.12,0.24,0.02,0.08,0.02,0.02,4.75,0.45,0.55,17,3,8,0,8,9,18,5,1,2,6,0,6,0
4.7,6,2,1,0,2,10,241,6.7,24.1,16,15,1,5,15,10,9,1,0,18.78,18.16,22.68,23.67,0.23,0.14,0.21,0.43,0.09,0.06,0.43,84,3.83,0.35,1.71,0.14,0.06,0.11,0.11,0.21,0.21,0.03,0.03,0.0,1.75,0.73,0.82,2,0,11,0,2,0,9,2,0,0,0,0,6,0
3.0,6,1,1,1,2,9,172,7.44,19.11,12,9,3,1,13,6,6,1,0,20.25,22.35,24.29,22.62,0.3,0.23,0.63,0.55,0.05,0.01,0.39,67,3.61,0.39,1.58,0.1,0.06,0.13,0.13,0.27,0.04,0.3,0.15,0.0,2.0,0.6,1.8,0,0,6,0,2,2,18,0,0,0,2,0,6,1
4.85,8,2,3,2,7,13,271,6.92,20.85,27,18,9,14,13,10,16,2,1,20.17,18.59,23.22,25.33,0.47,0.11,0.26,0.7,0.1,0.04,0.16,119,5.11,0.44,3.15,0.19,0.16,0.12,0.06,0.18,0.03,0.1,0.04,0.03,1.75,0.34,0.72,16,0,5,0,7,4,5,10,5,4,2,0,6,0
4.32,10,0,3,6,11,19,379,6.42,19.95,39,19,20,8,14,19,26,1,4,18.61,17.86,23.26,24.39,0.46,0.15,0.44,0.69,0.08,0.06,0.17,175,6.36,0.46,3.82,0.2,0.13,0.15,0.13,0.28,0.05,0.1,0.15,0.02,3.75,0.45,0.6,18,3,11,0,6,1,20,13,1,5,1,0,6,2
4.94,7,3,5,7,5,16,349,6.88,21.81,36,25,11,11,14,17,17,3,4,15.13,16.14,22.33,21.07,0.46,0.11,0.34,0.74,0.08,0.04,0.14,167,6.32,0.48,3.85,0.21,0.16,0.13,0.08,0.2,0.06,0.02,0.07,0.04,4.0,0.36,0.59,18,2,15,0,5,2,22,10,2,3,1,0,7,0
8.25,12,4,3,1,1,4,138,3.75,34.5,9,7,2,4,13,9,5,2,0,28.0,30.94,39.67,36.0,0.43,0.15,0.61,0.59,0.1,0.04,0.27,74,4.45,0.54,1.63,0.14,0.2,0.1,0.05,0.15,0.0,0.05,0.05,0.02,4.0,0.42,0.5,2,3,5,0,4,1,10,4,0,0,0,0,5,0
5.33,9,2,5,1,10,12,259,8.08,21.58,25,13,12,5,13,9,10,1,2,21.36,21.25,26.35,27.09,0.46,0.08,0.24,0.7,0.12,0.03,0.15,138,6.06,0.53,3.27,0.23,0.14,0.1,0.19,0.29,0.04,0.14,0.1,0.02,3.0,0.26,0.53,18,6,8,0,3,6,17,13,4,2,5,0,6,0
5.0,9,3,0,2,4,5,134,5.8,26.8,17,12,5,3,8,4,13,0,1,22.75,23.23,27.98,27.25,0.51,0.09,0.35,0.69,0.12,0.04,0.15,87,5.31,0.65,2.83,0.24,0.16,0.16,0.13,0.29,0.03,0.14,0.2,0.0,2.5,0.38,0.75,7,1,3,0,2,4,7,8,2,3,1,0,4,1
3.88,7,2,2,2,5,16,275,4.81,17.19,19,16,3,9,17,12,22,0,1,13.6,12.94,17.78,18.87,0.47,0.18,0.29,0.65,0.09,0.04,0.22,142,6.05,0.52,3.46,0.18,0.21,0.15,0.05,0.21,0.05,0.05,0.06,0.04,6.0,0.38,0.46,6,7,9,0,2,2,16,5,1,3,1,0,7,1
